headlines,outcome,triples,relations,is_in_triples,is_in_entities
A photo claims that this person is a doctor who died after attending to too many COVID-19 patinents in Hospital Muñiz in Buenos Aires.,0,"[[{'subject': 'many COVID 19 patinents', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Hospital_Muñiz'}]]",['is in'],"[{'subject': 'many COVID 19 patinents', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Hospital_Muñiz'}]","['many COVID 19 patinents', 'http://dbpedia.org/resource/Hospital_Muñiz']"
Post about a video claims that it is a protest against confination in the town of Aranda de Duero (Burgos),0,"[[{'subject': 'confination', 'relation': 'is in', 'object': 'town of Aranda de Duero'}]]",['is in'],"[{'subject': 'confination', 'relation': 'is in', 'object': 'town of Aranda de Duero'}]","['confination', 'town of Aranda de Duero']"
"Households with COVID-19 patients in Porto Alegre, Campo Grande and Santo Antônio da Platina must put a red ribbon on their garbage bags. Garbagemen are instructed to handle them in a safer way",0,"[[{'subject': 'Households', 'relation': 'is with', 'object': 'COVID 19 patients in Porto Alegre'}, {'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Porto_Alegre'}, {'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Porto_Alegre'}], [{'subject': 'Garbagemen', 'relation': 'handle Households in', 'object': 'safer way'}, {'subject': 'Garbagemen', 'relation': 'are', 'object': 'instructed'}, {'subject': 'Garbagemen', 'relation': 'handle Households with', 'object': 'COVID 19 patients in Porto Alegre'}, {'subject': 'Garbagemen', 'relation': 'handle Households in', 'object': 'way'}, {'subject': 'Garbagemen', 'relation': 'handle', 'object': 'Households'}, {'subject': 'Garbagemen', 'relation': 'handle Households with', 'object': 'COVID 19 patients'}, {'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Porto_Alegre'}]]","['is with', 'is in', 'is in', 'handle Households in', 'are', 'handle Households with', 'handle Households in', 'handle', 'handle Households with', 'is in']","[{'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Porto_Alegre'}, {'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Porto_Alegre'}, {'subject': 'COVID 19 patients', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Porto_Alegre'}]","['COVID 19 patients', 'http://dbpedia.org/resource/Porto_Alegre', 'COVID 19 patients', 'http://dbpedia.org/resource/Porto_Alegre', 'COVID 19 patients', 'http://dbpedia.org/resource/Porto_Alegre']"
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): “Right now [there is] a strict quarantine in Barcelona",0,"[[{'subject': 'strict quarantine', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Barcelona'}, {'subject': 'Province', 'relation': 'of Governor is', 'object': 'http://dbpedia.org/resource/Argentina'}, {'subject': 'http://dbpedia.org/resource/Axel_Kicillof', 'relation': 'Governor of', 'object': 'Province'}]]","['is in', 'of Governor is', 'Governor of']","[{'subject': 'strict quarantine', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Barcelona'}]","['strict quarantine', 'http://dbpedia.org/resource/Barcelona']"
Supposed tweet form Berlin Police claims there was 3.5 million people at an August 1st rally in Berlin against coronavirus meassures.,0,"[[{'subject': 'tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally against coronavirus meassures'}, {'subject': 'Supposed tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally in Berlin'}, {'subject': 'tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people'}, {'subject': 'Supposed tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people'}, {'subject': 'Supposed tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally'}, {'subject': 'Supposed tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally in Berlin against coronavirus meassures'}, {'subject': 'tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally'}, {'subject': 'August 1st rally', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Berlin_Police'}, {'subject': 'tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally in Berlin'}, {'subject': 'tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally in Berlin against coronavirus meassures'}, {'subject': 'Supposed tweet form Berlin Police claims', 'relation': 'was', 'object': '3.5 million people at August 1st rally against coronavirus meassures'}]]","['was', 'was', 'was', 'was', 'was', 'was', 'was', 'is in', 'was', 'was', 'was']","[{'subject': 'August 1st rally', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Berlin_Police'}]","['August 1st rally', 'http://dbpedia.org/resource/Berlin_Police']"
A post spreading on WhatsApp claims there are 50 hospital guards job oppenings at IFEMA hospital in Madrid.,0,"[[{'subject': 'post claims', 'relation': 'are', 'object': '50 hospital guards job oppenings at IFEMA hospital'}, {'subject': 'post claims', 'relation': 'are', 'object': '50 hospital guards job oppenings'}, {'subject': 'post', 'relation': 'spreading on', 'object': 'http://dbpedia.org/resource/WhatsApp'}, {'subject': 'post claims', 'relation': 'are', 'object': '50 hospital guards job oppenings at IFEMA hospital in Madrid'}, {'subject': 'IFEMA hospital', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Madrid'}]]","['are', 'are', 'spreading on', 'are', 'is in']","[{'subject': 'IFEMA hospital', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Madrid'}]","['IFEMA hospital', 'http://dbpedia.org/resource/Madrid']"
"There was a 78percent fall on Chinese product sales in Brazil due to a boycott motivated by the pandemic, acording to INCINT",0,"[[{'subject': 'Chinese product sales', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Brazil'}, {'subject': '78percent fall', 'relation': 'acording to', 'object': 'INCINT'}, {'subject': 'fall', 'relation': 'acording to', 'object': 'INCINT'}]]","['is in', 'acording to', 'acording to']","[{'subject': 'Chinese product sales', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Brazil'}]","['Chinese product sales', 'http://dbpedia.org/resource/Brazil']"
A photo collage claims to show images taken during a protest against coronavirus restrictions in Germany in August 2020.,0,"[[{'subject': 'images', 'relation': 'taken in', 'object': 'August 2020'}, {'subject': 'images', 'relation': 'taken during', 'object': 'protest against coronavirus restrictions'}, {'subject': 'images', 'relation': 'taken during', 'object': 'protest'}, {'subject': 'photo collage', 'relation': 'claims', 'object': 'to show'}, {'subject': 'photo collage', 'relation': 'claims', 'object': 'show'}, {'subject': 'images', 'relation': 'taken during', 'object': 'protest against coronavirus restrictions in Germany'}, {'subject': 'coronavirus restrictions', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Germany'}]]","['taken in', 'taken during', 'taken during', 'claims', 'claims', 'taken during', 'is in']","[{'subject': 'coronavirus restrictions', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Germany'}]","['coronavirus restrictions', 'http://dbpedia.org/resource/Germany']"
"There was a 30percent fall on Chinese product sales in the Brazilian state of Santa Catarina, due to a boycott motivated by the pandemic",0,"[[{'subject': 'Chinese product sales', 'relation': 'is in', 'object': 'Brazilian state of Santa Catarina'}]]",['is in'],"[{'subject': 'Chinese product sales', 'relation': 'is in', 'object': 'Brazilian state of Santa Catarina'}]","['Chinese product sales', 'Brazilian state of Santa Catarina']"
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,0,"[[{'subject': 'infected inmigrants', 'relation': 'is in', 'object': 'Argelia'}]]",['is in'],"[{'subject': 'infected inmigrants', 'relation': 'is in', 'object': 'Argelia'}]","['infected inmigrants', 'Argelia']"
